"","Brand","Model","Accel","TopSpeed","Range","Efficiency","FastCharge","RapidCharge","PowerTrain","PlugType","BodyStyle","Segment","Seats","PriceEuro"
"26","Volkswagen","ID.4",7.5,160,420,183,560,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","SUV","C",5,45000
"27","Volkswagen","ID.3 Pro",9,160,350,166,490,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","Hatchback","C",5,33000
"28","Volvo","XC40 P8 AWD Recharge",4.9,180,375,200,470,"Rapid charging possible","All Wheel Drive","Type 2 CCS","SUV","C",5,60437
"29","BMW","i3 120 Ah",7.3,150,235,161,270,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","Hatchback","B",4,38017
"30","Peugeot","e-2008 SUV",8.5,150,250,180,380,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","SUV","B",5,34361
"31","Audi","e-tron 50 quattro",6.8,190,280,231,450,"Rapid charging possible","All Wheel Drive","Type 2 CCS","SUV","E",5,67358
"32","Kia","e-Niro 64 kWh",7.8,167,370,173,350,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","SUV","C",5,38105
"33","Renault","Zoe ZE50 R110",11.4,135,315,165,230,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","Hatchback","B",5,31184
"34","Tesla","Cybertruck Tri Motor",3,210,750,267,710,"Rapid charging possible","All Wheel Drive","Type 2 CCS","Pickup","N",6,75000
"35","Mazda","MX-30",9,150,180,178,240,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","SUV","C",5,32646
"36","Nissan","Leaf e+",7.3,157,325,172,390,"Rapid charging possible","Front Wheel Drive","Type 2 CHAdeMO","Hatchback","C",5,37237
"37","Lexus","UX 300e",7.5,160,270,193,190,"Rapid charging possible","Front Wheel Drive","Type 2 CHAdeMO","SUV","C",5,50000
"38","CUPRA","el-Born",6.5,160,425,181,570,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","Hatchback","C",4,45000
"39","Renault","Zoe ZE50 R135",9.5,140,310,168,230,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","Hatchback","B",5,33133
"40","Mercedes","EQA",5,200,350,171,440,"Rapid charging possible","All Wheel Drive","Type 2 CCS","SUV","C",5,45000
"41","Tesla","Model S Long Range",3.8,250,515,184,560,"Rapid charging possible","All Wheel Drive","Type 2","Liftback","F",5,79990
"42","Hyundai","Kona Electric 39 kWh",9.9,155,255,154,210,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","SUV","B",5,33971
"43","Audi","e-tron Sportback 55 quattro",5.7,200,380,228,610,"Rapid charging possible","All Wheel Drive","Type 2 CCS","SUV","E",5,81639
